id tweet	date	author	text	app	id user	followers	following	stauses	location	urls	geolocation	name	description	url_media	type media	quoted	relation	replied_id	user replied	retweeted_id	user retweeted	quoted_id	user quoted	first HT	lang	created_at	verified	avatar	link	modularity_class	date_calc
1567246866915418112	2022-09-06 20:22:25	@patriotapsuvv2	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1559367300456775681	30	22	16149		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Bartolomeo J Simpsons	REVOLUCIÓN Y MAS REVOLUCIÓN! VIVIREMOS Y VENCEREMOS!	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-08-16 02:32:43	False	https://pbs.twimg.com/profile_images/1559367836908371970/85Q7TCae_normal.jpg	https://twitter.com/Patriotapsuvv2/status/1567246866915418112	9.0	2022-09-06 20:22
1567246989292707843	2022-09-06 20:22:54	@caserio74600952	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1543016436578254848	304	905	6749		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	CASERIO	Amor propio	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-07-01 23:39:59	False	https://pbs.twimg.com/profile_images/1543018864715366400/VdnTICk-_normal.jpg	https://twitter.com/CASERIO74600952/status/1567246989292707843	9.0	2022-09-06 20:22
1567247348929101824	2022-09-06 20:24:20	@rossy83710089	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1521937281548001281	433	104	54794		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Rossy		None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-05-04 19:38:46	False	https://pbs.twimg.com/profile_images/1521938179447791619/gRGOGBbl_normal.jpg	https://twitter.com/Rossy83710089/status/1567247348929101824	9.0	2022-09-06 20:24
1567247397058711557	2022-09-06 20:24:32	@patriotapsuvv3	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1559535597341007874	26	12	16149		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Homero	VIVA LA PATRIA	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-08-16 13:40:52	False	https://pbs.twimg.com/profile_images/1559536145507172358/XYxDf0wV_normal.jpg	https://twitter.com/Patriotapsuvv3/status/1567247397058711557	9.0	2022-09-06 20:24
1567247462854696962	2022-09-06 20:24:47	@jorgefores666	rt @arteviajero_com: retrato de una mujer pompeyana, esta obra maestra de la musivaria romana fue realizada en opus vermiculatum. en ella sorprenden sus minuciosos detalles y el gran realismo. la pieza procede de pompeya y se conserva en el museo arqueológico de nápoles #buenosdias #felizmartes https://t.co/rbf85hhv3q	Twitter for Android	214117136	656	2548	105109		None	None	Jorge Flores		http://pbs.twimg.com/media/Fb81aYpX0AEKB4g.jpg	photo	None	RT	None	None	1567029932957614080	@arteviajero_com	None	None	BuenosDias	es	2010-11-10 16:19:06	False	https://pbs.twimg.com/profile_images/1367281739232546818/s5w_Gey1_normal.jpg	https://twitter.com/Jorgefores666/status/1567247462854696962	6.0	2022-09-06 20:24
1567247572187611139	2022-09-06 20:25:13	@anabeatrizpsuv	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1557701392248311809	65	27	19371		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	Ana	DISCAPACITADA Y REVOLUCIONARIA HASTA LA MUERTE	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-08-11 12:12:24	False	https://pbs.twimg.com/profile_images/1557701646603386882/Mn-URjpe_normal.jpg	https://twitter.com/Anabeatrizpsuv/status/1567247572187611139	9.0	2022-09-06 20:25
1567248303535824896	2022-09-06 20:28:08	@villasmil21	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1566066248332591104	17	0	2721		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	villasmil2		None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-09-03 14:11:12	False	https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png	https://twitter.com/villasmil21/status/1567248303535824896	9.0	2022-09-06 20:28
1567248455151542281	2022-09-06 20:28:44	@margari10624312	rt @arteviajero_com: ¿alguna vez has visto una iglesia sobre un volcán?  en la localidad francesa de aiguilhe (haute-loire, auvergne) es posible contemplar una de las estampas más espectaculares del arte románico de francia #felizmartes #travel https://t.co/shh6dggyxl	Twitter for Android	1474866060759379970	285	3043	47518		None	None	Margarito Cruz		http://pbs.twimg.com/media/Fb-WLNQXoAM_q00.jpg	photo	None	RT	None	None	1567136350364729345	@arteviajero_com	None	None	FelizMartes	es	2021-12-25 22:20:14	False	https://pbs.twimg.com/profile_images/1474867610953125893/9buZL78D_normal.png	https://twitter.com/Margari10624312/status/1567248455151542281	6.0	2022-09-06 20:28
1567248942961762304	2022-09-06 20:30:40	@patriotapsuvv4	rt @diarioveahoy: #6sep a los leones del caracas le falta un refuerzo importado para cumplir la nómina de extranjeros acordados por la lvbp para cada equipo #somospatriaqueserespeta #a3mesesdelsecuestrodelavión #felizmartes https://t.co/lnz4dsjoox	Twitter for Android	1559544375306330112	31	14	16149		https://diariovea.com.ve/leones-completaron-cuarteto-de-importados-para-la-venidera-temporada-de-la-lvbp-2022-2023/	None	NUzumaki	REVOLUCIONARIO HASTA LOS TUÉTANOS	None	None	None	RT	None	None	1567246257126612992	@diarioveahoy	None	None	6Sep	es	2022-08-16 14:15:40	False	https://pbs.twimg.com/profile_images/1559544812172447745/QZjFo3A6_normal.jpg	https://twitter.com/Patriotapsuvv4/status/1567248942961762304	9.0	2022-09-06 20:30
1567249032241635334	2022-09-06 20:31:02	@mariama54539523	rt @arteviajero_com: ¿alguna vez has visto una iglesia sobre un volcán?  en la localidad francesa de aiguilhe (haute-loire, auvergne) es posible contemplar una de las estampas más espectaculares del arte románico de francia #felizmartes #travel https://t.co/shh6dggyxl	Twitter Web App	1480308485787164672	63	221	16836		None	None	Maria Margarita Molina		http://pbs.twimg.com/media/Fb-WLNQXoAM_q00.jpg	photo	None	RT	None	None	1567136350364729345	@arteviajero_com	None	None	FelizMartes	es	2022-01-09 22:42:22	False	https://pbs.twimg.com/profile_images/1525544857749671936/oKvlRTQm_normal.jpg	https://twitter.com/MariaMa54539523/status/1567249032241635334	6.0	2022-09-06 20:31
